Category,Text
Engagement,Oh. I understand that fees are really costly. 
Engagement,I'm really really really sorry sir.
Engagement,Oh. I understand that fees are really costly.
Engagement,I truly understand what you're going through Mr. Breed.
Engagement,You're welcome Mr. Breed.
Engagement,Oh I'm so sorry for the inconvenience for the website.
Engagement,I understand Miss Collins.
Engagement,Wow thank you.
Engagement,"Alright, we are on the right track."
Engagement,Oh I'm terribly sorry to hear that.
Engagement,"But rest assured, I'll be here to make sure everything's well taken care of."
Engagement,"Sorry yeah, I should have asked for your account number."
Engagement,"Thank you so much, appreciate it."
Engagement,Thank You Pauline
Engagement,I understand that is really frustrating.
Engagement,"Yes, yes, ma'am. I will do my best."
Engagement,Thank you.
Engagement,Sorry. I'm still checking some information.
Engagement,"I am really sorry, Miss America."
Engagement,I understand your situation is very tough right now.
Engagement,"Thanks so much for your patience, Miss America."
Engagement,"Again, I'm really sorry."
Engagement,How does that sound to you?
Engagement,Ok that sounds good?
Engagement,Oh that's very inconvenient.
Engagement,"I understand how you feel, your friends online might already be waiting for you but don't you worry, you've got the right person on the line to help you."
Engagement,Thank You Mr. Jones.
Engagement,Oh I just said thank you Mr. Jones.
Engagement,Great! Thank you. 
Engagement,Oh I see.
Engagement,How does that sound to you?
Engagement,"Sure, I'll be glad to assist you with that mail."
Engagement,I am sincerely glad to know that you're all good now.
Engagement,Thank you.
Engagement,"Just take care of yourself, okay?"
Engagement,I'll be happy to order the bouquet for you.
Engagement,Thank You Amanda.
Engagement,Perfect.
Engagement,Thank you.
Engagement,Thank You Amanda.
Engagement,I appreciate that you bring this to out attention sir And sorry for the inconvenience sir.
Engagement,I understand that your situation is very tough right now.
Engagement,"Yes sir, thank you."
Engagement,Please stay online for a minute Mr. Sobremonte.
Engagement,"Again sir, I'm terribly sorry."
Engagement,I'd be happy to take care of your order.
Engagement,Thank you for that information Randall.
Engagement,Thank you for the information.
Engagement,Sure. I will be happy to assist you.
Engagement,Thank You Mr. Logan.
Engagement,Thank you for that.
Engagement,"Okay great, thank you Mr. Logan."
Engagement,"Hello Brian, I'm really sorry if you haven't received your parcel."
Engagement,"No worries, since you have me on the line, I'll be more than willing to assist."
Engagement,Thanks for verifying those information to me.
Engagement,I'm really sorry for the inconvenience Brian.
Engagement,"If you want, I can also help you track your order and reach you back tomorrow just to make sure that you are receiving the item within the expected date."
Engagement,"Got it, thanks."
Engagement,"Thank you, Brian."
Engagement,I am sorry to hear about a dollar charge in your account.
Engagement,But don't you worry. I can definitely help you with that.
Engagement,You're most welcome.
Engagement,I am really sorry to hear if you haven't received your item for a special event.
Engagement,Also if it was tracked as delivered although not yet received.
Engagement,I do understand your frustration right now for this inconvenience but no worries.
Engagement,Rest assured that this company isn't a scam and I can definitely help you.
Engagement,Thank you.
Engagement,Okay thank you.
Engagement,"Oh, I understand where you're coming from Athena."
Engagement,No problem.
Engagement,"It's okay, I understand I would feel the same way if I am in your situation."
Engagement,Thank you for your patience by the way.
Engagement,Thank You.
Engagement,Oh I am so sorry.
Engagement,"Amber, I truly understand how frustrating this is for you."
Engagement,"I truly do, I do."
Engagement,And I am so sorry that this happened to you.
Engagement,You're most welcome Amber.
Engagement,"Sure, I'll be happy to pull up your account now and check the billing details for you."
Engagement,Thank you John.
Engagement,Just give me a few seconds to pull up your account.
Engagement,"No, don't worry about it John."
Engagement,You're welcome John.
Engagement,I do apologize for the inconvenience but let me go ahead and check if there are some notes and order details.
Engagement,Thank you.
Engagement,I do apologize but the one that you provided is actually not accepting towards our database.
Engagement,"Alright, thank you so much Wilson."
Engagement,Thank you.
Engagement,Thank you.
Engagement,Thank you.
Engagement,Thank you.
Engagement,"Okay, thank you."
Engagement,Please hold on for a moment.
Engagement,Okay?
Engagement,"Alright, okay, thank you for patiently waiting Adam. "
Engagement,I understand.
Engagement,Is that okay with you?
Engagement,"Alright, thank you so much for that information, Adam."
Engagement,Thank you John.
Engagement,I'd be happy to help you with that today.
Engagement,Thank you.
Engagement,Okay?
Engagement,Thank you John.
Engagement,Thank you.
Engagement,"Oh, I apologise about the delay."
Engagement,Thank you.
Engagement,Okay?
Engagement,Thank you.
Engagement,Thank you.
Engagement,Thank you.
Engagement,I'm doing very well.
Engagement,Thank you so much for asking.
Engagement,How about you?
Engagement,"Oh, I hope I can make you feel better today."
Engagement,I can only imagine how difficult it is for you not to have a working phone.
Engagement,Okay?
Engagement,You are welcome.
Engagement,Thank you.
Engagement,"Okay, I know this must be so difficult for you since I know that you need to talk to your family and friends and I thank you for providing me all the necessary information that I need so I can start troubleshooting your phone."
Engagement,Thank you.
Engagement,Thank you.
Engagement,"Great, thank you for checking those for me."
Engagement,Thank you.
Engagement,Thank you so much.
Engagement,Thank you.
Engagement,Awesome.
Engagement,Okay?
Engagement,"Okay, so, it worked."
Engagement,"You're most welcome, ma'am."
Engagement,I'm sorry to hear that your printer is not working.
Engagement,Thank you.
Engagement,Thank you.
Engagement,Thank you.
Engagement,You're welcome.
Engagement,Thank you so much.
Engagement,"Okay, good job."
Engagement,"Alright, so while it's still loading right now, how are you doing today?"
Engagement,Thank you so much for asking.
Engagement,"Alright, congratulations."
Engagement,Thank you so much and let me fill out the form for you.
Engagement,Thank you for that information Ms. Hernani.
Engagement,Do you find that acceptable Ms. Hernani?
Engagement,Ok one more second Ms. Hernani.
Engagement,"Oh perfect, go ahead please."
Engagement,"Okay John, let me just confirm your information."
Engagement,"Oh, I am sorry to hear that."
Engagement,"Okay, just let me verify that this order number match with the product you placed."
Engagement,"Okay, thank you for waiting, Mr. Pandit."
Engagement,"Okay sir, I totally understand your situation and I would feel the same."
Engagement,"But, please. Calm down and stop yelling at me."
Engagement,"And let me tell you what I could do for you, ok?"
Engagement,"Oh, sorry sir, my mistake."
Engagement,Sorry to hear that sir.
Engagement,I appreciate that you bring this to out attention sir And sorry for the inconvenience sir.
Engagement,I understand that your situation is very tough right now.
Engagement,"Yes sir, thank you."
Engagement,Please stay online for a minute Mr. Sobremonte.
Engagement,"Again sir, I'm terribly sorry."
Engagement,sorry for the inconvenience ma'am let me help you instruct your account. 
Engagement,thank you so much for that information extent. 
Engagement,you are very welcome roxanne and the delay in the village usually caused by a delay in our system so you can visit our website and login to your account and this bill is more updated and more convenient.
Engagement,absolutely! i'm positive that we have what you are looking for so let me take your order.
Engagement,are you good with these?
Engagement,ok definitely we can definitely go ahead and assisst you with that unlock today. 
Engagement,there is no email that i can send you but here you said that it's unlocked and it has been unlocked same.
Engagement,can i call you by your first name?
Engagement,we've had others tell us the same thing we are in the process of adding some telephone lines now so it shouldn't be a problem in the future
Engagement,sorry ma'am but the offer has expired 
Engagement,no problem i definitely undrestand it's concern regarding your bill and i'll definitely be more than happy to pull up your account  and we can take a look at that charge for you today. 
Engagement,ok so mrs.clarl i'm glad to have your pulled up pretty much to go ahead and explain the $40 upgrate fee AT&T does allow our customers to upgrate to the new two-year contract and it doesn't apply a one-tiem $40 upgrate fee on which it sells.
Engagement,i'm afraid to tell you ma'am but there was a serious conflict with a shippment of the goods yesterday due to the typhoon
Engagement,i apologize for the inconvenience ma'am i would probably feel the same way if i'm in your situation but i'm rest assured that all your concerns will be heard and not be taken for granted 
Engagement,thank you for that information miss cassandra please bear with me we'll pull up your account in the system
Engagement,thank you for patiently waiting i'm afraid to tell you ma'am but the delivery will not be delivered to you anymore
Engagement,uh ok sir as a technician i could definitely help you out with that right away
Engagement,ok sir thanks let's see what we can do with your router what seems to be the problem sir?
Engagement,well thats a good question sir a router basically forwards data packets between computer networks
Engagement,ok please let me know what can i do for you
Engagement,i'm pretty sure we'll be able to resolve this matter once and for all
Engagement,i'm sorry to hear that your printer is not working let me go and check what's the problem and let us  fix it together
Engagement,ok now can you please try printing
Engagement,that's 10284563?
Engagement,and where is the property that you're looking for an estimate on  it's in Westchester I haven't purchased the land yet I'd like to see if I could get an estimate or haven't take a look at it before before I do
Engagement,okay no problem is it a good time to reach you with this number or is that an anytime
Engagement,oh I'm so sorry to hear that sir would you like me to get a hold of the plumber for you 
Engagement,would you stay on the line for a moment
Engagement,no problem Brian what did you need to know
Engagement,let me get your information and I'll have a security specialist give you a call and discuss your needs
Engagement,he was stuck in traffic but he is now on First Avenue and King of Prussia and nwill be there momentarily 
Engagement,and I'm so sorry about the delay
Engagement,oh I am so sorry sir
Engagement,um the royal blue is a bit brighter
Engagement,sure I can definitely help you with that
Engagement,you can expect your new burner to arrive in about four to six business days
Engagement,okay sure we can definitely help you
Engagement,all right Bob we will see you in about a month stop in whenever you are free and we can work out the deposit
Engagement,I'd be happy to help you with that today
Engagement,Oh nice car 
Engagement,all right well here are a few reasons to consider purchasing today it looks as though you haven't updated your vehicle for three years so that would be the equivalent of getting three years worth of updates for the price of one 
Engagement,in addition special offers like the current promotion don't come around too often I would definitely recommend taking advantage of the extra $50 off before it expires
Engagement,yes ma'am you can call us 24/7 and yes I can help you set up any meeting with counselor Smith what is your preferred date
Engagement,mi'm sorry ma'am unfortunately that's the only time is free although check to see if there's another time lot sooner than that
Engagement,oh i am sorry to hear about that ma'am don't worry i'm hear to help you
Engagement,sorry for the inconvenience madam 
Engagement,Your account number is located at the top right hand corner of the bill statement. It’s a 9 digit code.
Engagement,I'd be happy to take care of your order
Engagement,sure ma'am I can help you out with that
Engagement,ma'am is your headset working now
Engagement,ok let me gather some information and see if we can help
Engagement,I understand how frustrating this is for you and I’m here to help resolve the issue
Engagement,I appreciate your understanding and we’ll get this sorted out as quickly as possible
Engagement,I see you're interested in our new product. Let me provide you with more details.
Engagement,I'm not sure if I have the details you're asking for. Let me check.
Engagement,"I’ll provide you with the information you requested. One moment, please."
Engagement,It seems like that feature isn’t available at the moment. Sorry for the inconvenience.
Engagement,"Thank you for your patience, I’m gathering the information now."
Engagement,"Unfortunately, we don’t have that feature available yet."
Engagement,That’s a great question! Let me look up the answer for you.
Engagement,"I’m unable to provide that information at the moment, but I’ll check again."
Engagement,"Sure, I can provide more details on that. Just give me a moment."
Engagement,I’m afraid I don’t have the resources to help with that request.
Engagement,"I’ve found the information you requested, here it is!"
Engagement,I’m afraid that product is out of stock at the moment.
Engagement,That’s a great suggestion! I’ll pass it along to the team.
Engagement,Thanks for your patience! I’ve got the information you requested.
Engagement,"I’m sorry, but I don’t have that information available right now."
Engagement,Thank you for your patience! I’ve found the details you're looking for.
Engagement,"I’m sorry, but that product is currently unavailable."
Engagement,"We’ve received your feedback, and I’ll ensure it's passed along to the right team."
Engagement,"Thank you for waiting, we’re working hard to resolve this for you."
Engagement,"I’m afraid I don’t have that information right now, but I’ll check back with you soon."
Engagement,I’ve got the details you asked for. Let me know if you need more information.
Engagement,Thank you for your feedback! We’re working on implementing improvements.
Engagement,We’ve received your inquiry and will get back to you shortly with more details.
Engagement,Thanks for waiting! We’re working hard to get everything sorted for you.
Engagement,"Thank you for your patience, we are diligently working on your request."
Engagement,We’re happy to assist you! Let me know if you need anything further.
Engagement,"We’re still looking into it, but I’ll update you as soon as I have more information."
Engagement,Thank you for your patience! We’re working hard to resolve this for you.
Engagement,Thanks for your patience while we continue to work on your case.
Engagement,Can you please provide me more details so I can assist better?
Engagement,I’d be happy to help you. Could you clarify a few things for me?
Engagement,Let me know if you need any further details or clarification.
Engagement,Can you give me more information about the issue so I can help?
Engagement,It would be great if you could provide more specifics.
Engagement,Can you tell me more about the problem so I can assist you better?
Engagement,Would you mind providing more details so I can help you?
Engagement,I’m happy to assist. Could you tell me more about what’s going on?
Engagement,Could you provide more details so we can move forward?
Engagement,I’m not sure I understand. Could you clarify a little more?
Engagement,It would help if you could give more details about the issue.
Engagement,Could you provide further details to help me understand the situation better?
Engagement,I need a little more information to proceed with solving this issue.
Engagement,It seems I need more information to help resolve your issue.
Engagement,I’m unable to assist further without more information. Could you clarify?
Engagement,Can you elaborate on that a bit so I can assist you better?
Engagement,I need more details from you in order to provide the correct solution.
Engagement,Could you give me more context to better assist you?
Engagement,Could you please provide some more details so I can help you further?
Engagement,"Please tell me more about the issue, and I’ll assist you promptly."
Engagement,It would help if you could give me more information about your concern.
Engagement,Could you elaborate on the situation so I can assist you better?
Engagement,Can you provide more specifics about the issue so I can help?
Engagement,I need a bit more information to fully understand the issue. Can you elaborate?
Engagement,Please share a bit more about the issue so I can guide you through a solution.
Engagement,I’d love to help! Can you provide a little more context?
Engagement,"Tell me a little more, so I can ensure I’m providing the right help."
Engagement,Could you clarify what you mean so I can understand better?
Engagement,I’m not quite sure I understand. Could you explain a bit more?
Engagement,I need more context to properly help you. Can you explain a bit further?
Engagement,Can you provide more details? I want to make sure I assist you properly.
Engagement,It would help if you could explain further. I want to make sure we resolve this.
Engagement,Could you give me some more context so I can help you more effectively?
Engagement,"I’m not fully understanding the situation, could you clarify?"
Engagement,I need more information to assist you properly. Can you share more details?
Engagement,"It seems I don’t have enough details to help you, could you elaborate?"
Engagement,Can you share more details about the problem so I can help you better?
Engagement,Please provide more information so I can offer the best solution.
Engagement,It would be helpful if you could elaborate on the issue so I can assist.
Engagement,"Tell me more about the situation, and I'll guide you through it."
Engagement,Can you give me a bit more detail so I can assist you fully?
Engagement,Please share more so I can get a better understanding and assist you.
Engagement,A little more context will help me assist you better.
Engagement,"If you could provide additional details, I’ll be able to assist more effectively."
Engagement,"Please clarify the issue a little more, so I can help."
