Category,Text
Problem Resolution,"No, no sir. "
Problem Resolution,I can't do that because you did not make a payment.
Problem Resolution,"As much as I'd love to help you Mr. Breed, my hands are tied right now."
Problem Resolution,There's nothing I can do.
Problem Resolution,I already told you the reason and I'm afraid you'll have to pay the fees you'll have to pay the fees for now.
Problem Resolution,I want to let you know that you can actually avoid these fees by paying before 4 p.m. of your due date.
Problem Resolution,"However, the fees charged were valid and therefore, the fees can no longer be refunded or removed."
Problem Resolution,"I understand your concern sir and as much as I want to remove the fees, they really can no longer be removed."
Problem Resolution,"However, since you requested, okay, I will send a request to the management and it's up to them to decide whatever course of action they will do after reviewing your account but this doesn't guarantee that the fees will be refunded."
Problem Resolution,I'll just give you instructions and we'll get through this.
Problem Resolution,"Yes, can you please close the Chrome browser and open it again after?"
Problem Resolution,"Now that you have the browser open, do you see 3 dots that are aligned vertically on the upper right part of your screen?"
Problem Resolution,Please click that and you will see a drop-down box.
Problem Resolution,Then look for the word help or about Google Chrome.
Problem Resolution,Looks like you have the most updated browser versions so far.
Problem Resolution,"So, the next thing, we will do is clear cache from your browser."
Problem Resolution,This will not affect your stored files or anything on your computer.
Problem Resolution,It's just that most of the time the information that you click out to the Internet gets saved in a cache memory or storage in your browser and this eventually results to latency or what you just experienced.
Problem Resolution,So just click those three dots that you clicked earlier and look for more tools.
Problem Resolution,Did you see it?
Problem Resolution,Then you will see clear browsing data.
Problem Resolution,We can just go to the basic part and make sure you check all the checkboxes for the browsing history cookies and cached images.
Problem Resolution,"Then, if you see the time range you can choose all time. "
Problem Resolution,Then just click clear data.
Problem Resolution,"So once it's done loading, you will be on the same page."
Problem Resolution,"So, just press f5 on your keyboard to let it refresh and then you can start logging in again."
Problem Resolution,"Your debit card is safe, no unauthorized transaction so I'm closing it now tagging is as lost."
Problem Resolution,Would you like a replacement over the phone?
Problem Resolution,It's free of charge.
Problem Resolution,"It will be delivered in 10 business days and while you're waiting for your new card, you may go to any branch to do an over to counter withdrawal."
Problem Resolution,Just bring two valid IDs.
Problem Resolution,Your new debit card will have a new card number but the account number and PIN will remain the same.
Problem Resolution,Just call us right away once you receive it so that we can activate it for you and everything's good.
Problem Resolution,"Thank you, so, there is one available premium room that is good for three people with three separate beds."
Problem Resolution,"It comes with free Wi-Fi cable channels, minibar and mini kitchens."
Problem Resolution,That's 99 dollars per night.
Problem Resolution,There's also a deluxe room available that has the same amenities as premier except that it has its own swimming pool.
Problem Resolution,That costs $150 per night.
Problem Resolution,Which one you prefer?
Problem Resolution,Yes there's free breakfast.
Problem Resolution,"Great, so you will check in on September 5 at 2 p.m. and check out on September 7 12 noon."
Problem Resolution,"So that's 2 nights for $198 and we have to add the taxes, so the total amount is 217 dollars and 56 cents."
Problem Resolution,"Yes, you should actually pay now."
Problem Resolution,"Alright, so just to recap I have already reserved the premier room for you for two nights on September 5 to 7 with total cost two hundred and seventeen dollars and 56 cents."
Problem Resolution,This is actually considered booked.
Problem Resolution,"If you decide to cancel within 15 days before your check-in date, there will be no cancellation fee and the money will be refunded to you in 10 business days. "
Problem Resolution,"But, if you can so within three days before your check-in date, half of the total amount will be forfeited, while, if you cancel within 24 hours before check-in the total amount will be forfeited."
Problem Resolution,I'm going to submit the report
Problem Resolution,"I'm done with the report, please expect to have your connection reinstated within 24 hours."
Problem Resolution,"As much as I'd love to that has been a turnaround time for reconnection since then, so to give enough time for the team to manually complete the payment."
Problem Resolution,"And, we would like to reward you with a platinum MasterCard that has amazing benefits and free annual fee for life."
Problem Resolution,The Platinum MasterCard is a highly prestigious card for highly career oriented individuals like you.
Problem Resolution,"This card has non-expiring rewards points, free travel insurance up to $20,000, repurchase protection up to $1000, free access to the sky view lounges in different airports locally and abroad, up to five supplementary card. holders with free annual membership fees for life."
Problem Resolution,"And as mentioned, your annual fee will automatically be waived as well."
Problem Resolution,Of course it also has a higher credit limit than your usual plastic or regular credit cards.
Problem Resolution,Can you please check again your telephone cord is connected to your modem?
Problem Resolution,"Don't worry, that's the last thing we have to check if the cord is indeed not connected tightly plug it back into your modem and everything should be good so that we do not have to call a technician to check out what's wrong with the modem."
Problem Resolution,Can you try accessing some website?
Problem Resolution,"Well, no, it does not."
Problem Resolution,But I will be happy to add a data to your plan.
Problem Resolution,For only five dollars more you get 10 gigs of data and it's more value for your money considering the current situation.
Problem Resolution,"That's good, so I'll add the data plan to your account right away and since you are a valued customer, I will also take care of the $10 charge for you."
Problem Resolution,So let me just process the reversal real quick okay and it's done so let me just recap everything we have talked about the $10 charge.
Problem Resolution,I have added a data plan of 10 gigs to your account so that's going to be $5 more in addition to the $25 that you are already paying every month and the $10 charge for this billing period was already reversed.
Problem Resolution,You're welcome and just to let you know you can also check your data usage by texting data to 777.
Problem Resolution,"By the way that letter that you received, on the topmost right part, does it say this is not a bill?"
Problem Resolution,"Ok, that's good to know because what you have there is an EOB or an explanation of benefits."
Problem Resolution,It should show the breakdown of the charges and the amount that we your insurance paid for.
Problem Resolution,"So you see every time a claim is processed, you will get that information for transparency see and I truly apologize for the confusion that this letter has cost you."
Problem Resolution,I know I understand I'm glad to clear things up for you and again no need to worry about the hospital bill we took care of it for you.
Problem Resolution,Would you like to add a pack of Hardy chocolates?
Problem Resolution,You only need to add seven dollars more for that.
Problem Resolution,"Since it's already after the cutoff of orders, the package will be delivered the next day, Wednesday."
Problem Resolution,"Would you like to charge that on Visa, Mastercard or American Express?"
Problem Resolution,Let me repeat that.
Problem Resolution,That's miss Amanda Bynes.
Problem Resolution,That's M I S S A M A N D A B Y N E S.
Problem Resolution,"So that's Miss Amanda Bynes, your first name and your last name @ gmail.com and number is 3 1 0 3 4 5 0 9 8 4."
Problem Resolution,Is that right?
Problem Resolution,Right so your order has been processed.
Problem Resolution,That's one bouquet of red and white roses with one pack of hardy chocolates.
Problem Resolution,That's a total of $52.
Problem Resolution,It will be delivered this on Wednesday and you will receive an electronic receipt to your email address and a notification to your mobile.
Problem Resolution,"And, today is the last day of free shipping, so it's good that you will not have to pay a delivery fee at all."
Problem Resolution,"Since you did pay for your connection, what I can do is to open a ticket or submit a report so that the other department can immediately complete your payment and reconnect your internet as soon as possible. "
Problem Resolution,I am now doing the report and will submit it as soon as I finish this.
Problem Resolution,"Hello sir, kindly expect to have your reconnection within 24 hours."
Problem Resolution,We will send you a text message informing that you have already paid and connected to the internet service to your phone number.
Problem Resolution,"Alright Randall, let me process your order. One moment please."
Problem Resolution,Okay Randall. we are ordering one dozen of long-stemmed red roses.
Problem Resolution,The total of your orders is $40 and it will be shipped to your address within 24 hours.
Problem Resolution,Within 24 hours.
Problem Resolution,"Sure, registered post is $12.45 and the delivery time is 3 to 5 business days or express post is $18.85 and delivery time is 1 to 2 days."
Problem Resolution,And the expiry please?
Problem Resolution,It's the last 3 digits on the back of the card.
Problem Resolution,"It's a Visa card number 43211234567821234, expiry 10/14 and CCV is 123."
Problem Resolution,"So we have one pair of seven-inch spotlights and 55 watt 6000k going to Jeremy Logan at 123, Blue Ridge Crescent, Bonneville, 2106, NSW and that will be shipped out today."
Problem Resolution,"Once your order has been shipped, Jenny will email your online tracking number but you should receive your order before 12 o'clock tomorrow, Sydney time."
Problem Resolution,"It is quite late for a week already. Since the item is shipped and sold by amazon, we can process a full refund or a replacement."
Problem Resolution,Which one would work for you?
Problem Resolution,"To compensate, I can request a refund for that order and process a replacement right now."
Problem Resolution,"Then, expedited to one day shipping without additional cost for the shipping."
Problem Resolution,Let me process your order.
Problem Resolution,"Brian, the refund was already requested."
Problem Resolution,Expect to receive the refund within two to three business days.
Problem Resolution,It will be credited back to the original payment method you use in placing the order.
Problem Resolution,"Also, I've already processed the replacement you can have the item by today until tomorrow."
Problem Resolution,Then the confirmation regarding our conversation will be sent to your account.
Problem Resolution,"Well, it isn't that long, most often, it takes 1 to 2 business days."
Problem Resolution,The authorisation will be removed from your account once a transaction is already processed.
Problem Resolution,I can also send a confirmation regarding this call for your reference.
Problem Resolution,"To compensate, I can process a replacement and expedite in the same day shipping."
Problem Resolution,You don't have to pay for the shipment.
Problem Resolution,You just have to wait.
Problem Resolution,I'll get back to you and notify you once the package shipped out.
