Category,Text,Empathy and Understanding,Advice and Further Information,Instructions
Problem Resolution,"No, no sir.",0,0,0
Problem Resolution,"I can't do that because you did not make a payment.",0,0,0
Problem Resolution,"As much as I'd love to help you Mr. Breed, my hands are tied right now.",0,0,0
Problem Resolution,"There's nothing I can do.",0,0,0
Problem Resolution,"I already told you the reason and I'm afraid you'll have to pay the fees you'll have to pay the fees for now.",0,0,0
Problem Resolution,"I want to let you know that you can actually avoid these fees by paying before 4 p.m. of your due date.",0,1,0
Problem Resolution,"However, the fees charged were valid and therefore, the fees can no longer be refunded or removed.",0,0,0
Problem Resolution,"I understand your concern sir and as much as I want to remove the fees, they really can no longer be removed.",1,0,0
Problem Resolution,"However, since you requested, okay, I will send a request to the management and it's up to them to decide whatever course of action they will do after reviewing your account but this doesn't guarantee that the fees will be refunded.",1,0,0
Problem Resolution,"I'll just give you instructions and we'll get through this.",0,0,1
Problem Resolution,"Yes, can you please close the Chrome browser and open it again after?",0,0,1
Problem Resolution,"Now that you have the browser open, do you see 3 dots that are aligned vertically on the upper right part of your screen?",0,0,1
Problem Resolution,"Please click that and you will see a drop-down box.",0,0,1
Problem Resolution,"Then look for the word help or about Google Chrome.",0,0,1
Problem Resolution,"Looks like you have the most updated browser versions so far.",0,1,0
Problem Resolution,"So, the next thing, we will do is clear cache from your browser.",0,0,1
Problem Resolution,"This will not affect your stored files or anything on your computer.",0,0,1
Problem Resolution,"It's just that most of the time the information that you click out to the Internet gets saved in a cache memory or storage in your browser and this eventually results to latency or what you just experienced.",0,1,0
Problem Resolution,"So just click those three dots that you clicked earlier and look for more tools.",0,0,1
Problem Resolution,"Did you see it?",0,0,1
Problem Resolution,"Then you will see clear browsing data.",0,0,1
Problem Resolution,"We can just go to the basic part and make sure you check all the checkboxes for the browsing history cookies and cached images.",0,0,1
Problem Resolution,"Then, if you see the time range you can choose all time.",0,0,1
Problem Resolution,"Then just click clear data.",0,0,1
Problem Resolution,"So once it's done loading, you will be on the same page.",0,0,1
Problem Resolution,"So, just press f5 on your keyboard to let it refresh and then you can start logging in again.",0,0,1
Problem Resolution,"Your debit card is safe, no unauthorized transaction so I'm closing it now tagging is as lost.",0,0,0
Problem Resolution,"Would you like a replacement over the phone?",0,0,1
Problem Resolution,"It's free of charge.",0,1,0
Problem Resolution,"It will be delivered in 10 business days and while you're waiting for your new card, you may go to any branch to do an over to counter withdrawal.",0,1,0
Problem Resolution,"Just bring two valid IDs.",0,1,0
Problem Resolution,"Your new debit card will have a new card number but the account number and PIN will remain the same.",0,1,0
Problem Resolution,"Just call us right away once you receive it so that we can activate it for you and everything's good.",0,1,0
Problem Resolution,"Thank you, so, there is one available premium room that is good for three people with three separate beds.",0,1,0
Problem Resolution,"It comes with free Wi-Fi cable channels, minibar and mini kitchens.",0,1,0
Problem Resolution,"That's 99 dollars per night.",0,1,0
Problem Resolution,"There's also a deluxe room available that has the same amenities as premier except that it has its own swimming pool.",0,1,0
Problem Resolution,"That costs $150 per night.",0,1,0
Problem Resolution,"Which one you prefer?",0,0,0
Problem Resolution,"Yes there's free breakfast.",0,1,0
Problem Resolution,"Great, so you will check in on September 5 at 2 p.m. and check out on September 7 12 noon.",0,1,0
Problem Resolution,"So that's 2 nights for $198 and we have to add the taxes, so the total amount is 217 dollars and 56 cents.",0,1,0
Problem Resolution,"Yes, you should actually pay now.",0,1,0
Problem Resolution,"Alright, so just to recap I have already reserved the premier room for you for two nights on September 5 to 7 with total cost two hundred and seventeen dollars and 56 cents.",0,1,0
Problem Resolution,"This is actually considered booked.",0,1,0
Problem Resolution,"If you decide to cancel within 15 days before your check-in date, there will be no cancellation fee and the money will be refunded to you in 10 business days.",0,1,0
Problem Resolution,"But, if you can so within three days before your check-in date, half of the total amount will be forfeited, while, if you cancel within 24 hours before check-in the total amount will be forfeited.",0,1,0
Problem Resolution,"I'm going to submit the report",0,0,1
Problem Resolution,"I'm done with the report, please expect to have your connection reinstated within 24 hours.",0,0,1
Problem Resolution,"As much as I'd love to that has been a turnaround time for reconnection since then, so to give enough time for the team to manually complete the payment.",0,1,0
Problem Resolution,"And, we would like to reward you with a platinum MasterCard that has amazing benefits and free annual fee for life.",0,1,0
Problem Resolution,"The Platinum MasterCard is a highly prestigious card for highly career oriented individuals like you.",0,1,0
Problem Resolution,"This card has non-expiring rewards points, free travel insurance up to $20,000, repurchase protection up to $1000, free access to the sky view lounges in different airports locally and abroad, up to five supplementary card. holders with free annual membership fees for life.",0,1,0
