Category,Text,Identify the specific issue or concern,Clarify the problem with probing questions,Acknowledge customer’s frustration or emotions
"Problem Investigation","Let me check your account to see what really happened.",1,0,0
"Problem Investigation","I'll see what I can do Mr. Breed.",0,0,0
"Problem Investigation","As I have checked you were charged some fees because you were not able to pay on time so that means we really cannot do anything about it anymore.",1,0,0
"Problem Investigation","Let me check your account to see what really happened.",1,0,0
"Problem Investigation","As I have checked, the account was charged some fees because there was no payment made before the cut off time of 4 p.m.",1,0,0
"Problem Investigation","May I know what error message you got?",1,1,0
"Problem Investigation","You mentioned you were trying to log in.",0,1,0
"Problem Investigation","When you logged into shapes rewards website, can you please tell me what happened after?",1,1,0
"Problem Investigation","Alright this what actually happened.",0,0,0
"Problem Investigation","When you clicked log in and the screen or the page goes back to the exact same page after loading that means that the page is looping.",1,0,0
"Problem Investigation","However, your browser has an issue.",0,0,0
"Problem Investigation","Looping is when the browser page goes back to the same page again and again even though you've already taken action.",0,0,0
"Problem Investigation","Just like in your case, you've clicked log in but it doesn't go to your profile on Shapes Rewards, right?",1,0,0
"Problem Investigation","It just keeps going back to the login page but don't worry you've got the right person on the line to help you.",0,0,1
"Problem Investigation","We just need to do quick troubleshooting on your browser.",0,0,0
"Problem Investigation","Are you using Mac or PC?",0,1,0
"Problem Investigation","May I know what browser you're using?",0,1,0
"Problem Investigation","Is it Google Chrome or Firefox?",0,1,0
"Problem Investigation","May I know the chrome version?",0,1,0
"Problem Investigation","Let me check your transactions for you real quick.",1,0,0
"Problem Investigation","I see that the last transaction made was using your debit card at Target for 179 54, 179 dollars and 54 cents.",1,0,0
"Problem Investigation","Yes, This just posted today.",0,0,0
"Problem Investigation","Is this valid?",0,0,0
"Problem Investigation","I'll be happy to check that for you.",0,0,1
"Problem Investigation","How many of your friends are staying?",0,1,0
"Problem Investigation","Do you prefer to stay in one room or separate rooms?",0,1,0
"Problem Investigation","Alright, let me check if you have an available room for what days?",0,1,0
"Problem Investigation","Are you going to reserve today?",0,1,0
"Problem Investigation","Okay, according to our systems data you did pay your last bill last October 20, which was two days ago in one of our affiliated payment centers.",1,0,0
"Problem Investigation","Unfortunately when you pay through that affiliated center, it takes about 2 to 3 business days more to complete the payment processing.",0,0,0
