Category,Text,Personal Information,Account and Transaction Details,Permission Words
Account Verification,"To put your account, can I please have your account number or debit card number?",0,1,1
Account Verification,"And for additional security can I also have your birthdate and residential address please?",1,0,1
Account Verification,"May I have your name?",1,0,1
Account Verification,"May I have the names of the guests?",0,0,1
Account Verification,"May I have your account number please?",0,1,1
Account Verification,"May I have your account number so that I can check your account?",0,1,1
Account Verification,"For verification purposes, can I get your name and birth date, please?;",1,0,1
Account Verification,"But, what I can do is to open a ticket or submit a report so that the other department assigned can manually complete your payment and reconnect your internet.",0,1,0
Account Verification,"I just need the payment ID number ma'am and which center did you make the payment?",0,1,0
Account Verification,"Since you are already pre-approved, I just need to confirm your building address, phone number and email address.",1,0,0
Account Verification,"Got it, thank you so much.",0,0,0
Account Verification,"I'll have this submitted and please expect your card in 10 business days and don't hesitate to call our toll-free number for any assistance.",0,0,1
Account Verification,"Welcome, thank you so much, bye.",0,0,0
Account Verification,"Can I have your account or phone number please?",0,1,1
Account Verification,"May I know the name of the account?",1,0,1
Account Verification,"Sounds great so I was saying may I know the name on the account?",1,0,1
Account Verification,"Yes, if the account is under your name.",1,0,0
Account Verification,"May I have the account number or the phone number of the account?",0,1,1
Account Verification,"May I have your complete name and member ID?",1,1,1
Account Verification,"How about your date of birth and address?",1,0,1
Account Verification,"Can I have your name please?",1,0,1
Account Verification,"Can I please have the name and a shipping address for the order?",0,1,1
Account Verification,"Thank you, and, the expiration date and CVV code please.",0,1,1
Account Verification,"Alright and, can I have the billing address of your card please?",0,1,1
Account Verification,"All I need now, is the email address for the order and your mobile number and we're all set.",1,1,0
Account Verification,"But first, give me your account number sir.",0,1,0
Account Verification,"Okay sir, I got it and for verification you will need your name and your birthday",1,0,0
Account Verification,"And to make it possible sir, I just need your payment ID.",0,1,0
Account Verification,"May I have your name please?",1,0,1
Account Verification,"May I have your home or office number area code first?",1,0,1
Account Verification,"Do you have a fax number or email address?",0,0,0
Account Verification,"May I have your shipping address?",0,1,1
Account Verification,"Can I start with your name please?",1,0,1
Account Verification,"Okay, no problem and can I get the delivery address please?",0,1,1
Account Verification,"And do you have an email address so I can send your receipt and online tracking too?",0,1,1
Account Verification,"Great, so all I need now is your visa or MasterCard details please?",0,1,1
Account Verification,"And, can you also grabbed the security number on the card?",0,1,0
Account Verification,"Alright, for security purposes, can I have the complete name on the account?",1,0,1
Account Verification,"Okay, can I also have your email address?",1,0,1
Account Verification,"Great, can I have your phone number?",1,0,1
Account Verification,"Alright, Can you start with your name please?",1,0,1
Account Verification,"How about your email address?",1,0,1
Account Verification,"Alright, For security purposes can I have your complete name please?",1,0,1
Account Verification,"Can I also have the email address associated with your account?",1,0,1
Account Verification,"How about the last four digits of the order number?",0,1,0
Account Verification,"Got it, so those were man sneaker shoes and an iPhone.",0,0,0
Account Verification,"To verify could you tell me the shipping address you wanted to ship the parcel?",0,1,1
Account Verification,"Can I have your account number together with your first and last name?",1,1,1
Account Verification,"May I ask for the original online order number?",0,1,1
Account Verification,"thank you may i also have the model of your printer? it's located in front of your printer at the lower right",0,0,1
Account Verification,"ok mr.matthews can i have the best number you can be reached out and also your apartment number",1,0,1
Account Verification,"ok great let me get your name what's your first name please",1,0,1
Account Verification,"and you're last name",1,0,1
Account Verification,"thank you and may i have your call back number",0,0,1
Account Verification,"okay let me get your name and number and I can patch you right through to the plumber your name sir",1,0,1
Account Verification,"ok and your call back number",0,0,1
Account Verification,"sure bill couch is in charge of the over the phone application process if you could just give me your name and phone number I can pass you right through to him",1,0,1
Account Verification,"and i also need your phone number brian",1,0,1
Account Verification,"sure that's great can I have their names and phone numbers please mr. Jones",1,0,1
Account Verification,"is your email still Z Jones at gmail.com",1,0,1
Account Verification,"first could I have your name sir",1,0,1
Account Verification,"and a number where you can be reached",0,0,1
Account Verification,"and could I get the address of where you would like the security system installed",1,0,1
