Category,Text,Offer further assistance,Thank the customer for calling,Greet farewell to the customers,Express Gratitude
Closure,"I have already submitted a request and you will receive an email or text message after three days for the decision.",0,0,0,0
Closure,"I am so happy for you too Miss Collins and it has been my pleasure to assist you.",0,0,0,1
Closure,"Did I address all your concerns today?",1,0,0,0
Closure,"You're welcome.",0,0,0,1
Closure,"Thanks for calling Shapes Rewards and enjoy your day.",0,1,1,1
Closure,"The replacement has been processed and have I address all your concerns?",1,0,0,0
Closure,"My pleasure and thank you for calling Grand Number One.",0,1,0,1
Closure,"Enjoy the rest of your day.",0,0,1,0
Closure,"Do you have any other questions Pauline?",1,0,0,0
Closure,"You're welcome.",0,0,0,1
Closure,"Thanks for calling our hotel.",0,1,0,1
Closure,"We look forward to your enjoyable stay.",0,0,1,0
Closure,"Bye.",0,0,1,0
Closure,"Is there anything else?",1,0,0,0
Closure,"Bye, yes, ma'am.",0,0,1,0
Closure,"Thank you for calling XYZ.",0,1,0,1
Closure,"My pleasure to assist you.",0,0,0,1
Closure,"Have I addressed your concerns?",1,0,0,0
Closure,"Thanks for calling Quick Internet.",0,1,0,1
Closure,"Once again this is Anna.",0,0,0,0
Closure,"Have a wonderful day.",0,0,1,0
Closure,"So, have I addressed all your concerns today?",1,0,0,0
Closure,"Well it's been my pleasure to assist you Francis.",0,0,0,1
Closure,"Once again, my name is Rhea.",0,0,0,0
Closure,"Thank you for calling Sprite and hope you have a great day.",0,1,1,1
Closure,"Have I addressed your concerns today?",1,0,0,0
Closure,"Yes, it is.",0,0,0,0
Closure,"Well Peter, if there's nothing else, thank you so much for choosing Life Member Services.",0,1,0,1
Closure,"You take care and I'm wishing for your speedy recovery.",0,0,1,0
Closure,"Do you have any questions for me?",1,0,0,0
Closure,"My pleasure.",0,0,0,1
Closure,"Thank you so much for your order Amanda.",0,0,0,1
Closure,"Have a great evening.",0,0,1,0
Closure,"Is there anything else I can help you with sir?",1,0,0,0
Closure,"If none, thanks for calling and don't hesitate to call again if ever you'll have a problem with your connection.",1,1,0,1
Closure,"Have a great day sir.",0,0,1,0
Closure,"Bye.",0,0,1,0
Closure,"Is there anything else I can help you with?",1,0,0,0
Closure,"No problem Randall.",0,0,0,0
Closure,"Thank you for calling Martha's Flowers.",0,1,0,1
Closure,"Have a nice day.",0,0,1,0
Closure,"Is there anything else that I can help you with Mr. Logan?",1,0,0,0
Closure,"You're welcome and thank you very much for choosing Delonix and enjoy the rest of your afternoon.",0,1,1,1
Closure,"Thank you, bye.",0,1,1,1
Closure,"Aside from this, is there anything else that I can help you with?",1,0,0,0
Closure,"I think we are all set.",0,0,0,0
Closure,"For other queries, feel free to visit our help pages.",0,0,0,0
Closure,"Thank you for calling amazon and have a nice day.",0,1,1,1
Closure,"Aside from this, is there anything else that I can assist?",1,0,0,0
Closure,"I'm really glad to help!",0,0,0,1
Closure,"You may also see the help pages for other queries, Max.",1,0,0,0
Closure,"Thank you for calling Rex Global and have a nice day.",0,1,1,1
Closure,"Goodbye.",0,0,1,0
Closure,"Anything else that I can help?",1,0,0,0
Closure,"That's good to hear.",0,0,0,0
Closure,"I'm glad to help you.",0,0,0,1
Closure,"For other concerns, feel free to visit our help pages.",1,0,0,0
Closure,"Thank you for calling JP International.",0,1,0,1
Closure,"Have a nice day.",0,0,1,0
Closure,"Goodbye.",0,0,1,0
Closure,"Is there anything else that I can help you with today?",1,0,0,0
Closure,"Bye, have a great day Amber.",0,0,1,0
Closure,"Thank you for calling home supplies.",0,1,0,1
Closure,"Is there anything else that I can help you with today?",1,0,0,0
