Category,Text
Account Verification,"To put your account, can I please have your account number or debit card number?"
Account Verification,And for additional security can I also have your birthdate and residential address please?
Account Verification,May I have your name?
Account Verification,May I have the names of the guests?
Account Verification,May I have your account number please?
Account Verification,May I have your account number so that I can check your account?
Account Verification,"For verification purposes, can I get your name and birth date, please?;"
Account Verification,"But, what I can do is to open a ticket or submit a report so that the other department assigned can manually complete your payment and reconnect your internet."
Account Verification,I just need the payment ID number ma'am and which center did you make the payment?
Account Verification,"Since you are already pre-approved, I just need to confirm your building address, phone number and email address."
Account Verification,"Got it, thank you so much."
Account Verification,I'll have this submitted and please expect your card in 10 business days and don't hesitate to call our toll-free number for any assistance.
Account Verification,"Welcome, thank you so much, bye."
Account Verification,Can I have your account or phone number please?
Account Verification,May I know the name of the account?
Account Verification,Sounds great so I was saying may I know the name on the account?
Account Verification,"Yes, if the account is under your name."
Account Verification,May I have the account number or the phone number of the account?
Account Verification,May I have your complete name and member ID?
Account Verification,How about your date of birth and address?
Account Verification,Can I have your name please?
Account Verification,Can I please have the name and a shipping address for the order?
Account Verification,"Thank you, and, the expiration date and CVV code please."
Account Verification,"Alright and, can I have the billing address of your card please?"
Account Verification,"All I need now, is the email address for the order and your mobile number and we're all set."
Account Verification,"But first, give me your account number sir."
Account Verification,"Okay sir, I got it and for verification you will need your name and your birthday"
Account Verification,"And to make it possible sir, I just need your payment ID."
Account Verification,May I have your name please?
Account Verification,May I have your home or office number area code first?
Account Verification,Do you have a fax number or email address?
Account Verification,May I have your shipping address?
Account Verification,Can I start with your name please?
Account Verification,"Okay, no problem and can I get the delivery address please?"
Account Verification,And do you have an email address so I can send your receipt and online tracking too?
Account Verification,"Great, so all I need now is your visa or MasterCard details please?"
Account Verification,"And, can you also grabbed the security number on the card?"
Account Verification,"Alright, for security purposes, can I have the complete name on the account?"
Account Verification,"Okay, can I also have your email address?"
Account Verification,"Great, can I have your phone number?"
Account Verification,"Alright, Can you start with your name please?"
Account Verification,How about your email address?
Account Verification,"Alright, For security purposes can I have your complete name please?"
Account Verification,Can I also have the email address associated with your account?
Account Verification,How about the last four digits of the order number?
Account Verification,"Got it, so those were man sneaker shoes and an iPhone."
Account Verification,To verify could you tell me the shipping address you wanted to ship the parcel?
Account Verification,Can I have your account number together with your first and last name?
Account Verification,May I ask for the original online order number?
Account Verification,Do you actually have a number that starts with triple 0 7 or 7?
Account Verification,"Or, can I ask for your first and last name so I can manually check it in our database?"
Account Verification,"Okay, let me just quickly look into a portal and check any notes in your order."
Account Verification,Can I ask for the order under your name originally?
Account Verification,Now what's the phone number that you put into order before?
Account Verification,Okay and what's the email address that you gave when you filled out the order form?
Account Verification,Did you receive a mailer from us?
Account Verification,"And, the year making model of your vehicle?"
Account Verification,"Okay, I think I found your profile here."
Account Verification,Can I have you verify your address and phone number please?
Account Verification,Do you have your phone number so I can pull up your account?
Account Verification,"Due to the sensitive nature of your account information, I will need to verify your identity for security purposes before proceeding."
Account Verification,Please provide your date of birth.
Account Verification,What's your order confirmation number?
Account Verification,Thank you and your name and the phone number please?
Account Verification,"Awesome, let me have your first and last name."
Account Verification,May I have your home or office number?
Account Verification,Your area code first?
Account Verification,Do you have an email address?
Account Verification,May I have the name and the shipping entries for the order?
Account Verification,"Thank you and to make sure that I'll be looking at the right account, may I know the phone number that you're calling in about?"
Account Verification,Thank you so much Amanda and your account security code please?
Account Verification,"Now, can you please confirm your ICC ID number or your sim card number?"
Account Verification,"Before we start, may I please have your name and best callback number in case a call got disconnected?"
Account Verification,May I also have the model of your printer?
Account Verification,It's located in front of your printer at the lower right side.
Account Verification,Can I have your first and last name please?
Account Verification,"Thank you Brian and for me to pull up your account, can I also have your account number?"
Account Verification,Okay and now what name would you prefer to be listed on the reservation?
Account Verification,Can you spell outyour name for me please?
Account Verification,"And, what is your best callback number?"
Account Verification,May I have your email address where I can send your reservation number?
Account Verification,"Before I proceed to the reservation process, may I know who is on the line?"
Account Verification,Could you spell your first name for me please?
Account Verification,Can I have the name of the persons who will be staying Ms. Hernani?
Account Verification,So all I need to know is your phone number.
Account Verification,Sounds good and can I get your date of birth?
Account Verification,"Thanks, would you happen to know the prescription number?"
Account Verification,And the name of the pharmacy?
Account Verification,Okay and do you know their phone number?
Account Verification,Could you tell me your order number please?
Account Verification,"But first, give me your account number sir."
Account Verification,"Okay sir, I got it and for verification you will need your name and your birthday"
Account Verification,"And to make it possible sir, I just need your payment ID."
Account Verification,may i have your account number?
Account Verification,thank you for verification process can i have your name and date of birth please?
Account Verification,awesome! let me have your first and last name 
Account Verification,thank you! may i have your home or office number area code first?
