Category,Text,Apologies and Empathy,Acknowledgment and Gratitude,Reassurance and Solutions,Permission Words
Engagement,"Oh. I understand that fees are really costly.",1,0,0,0
Engagement,"I'm really really really sorry sir.",1,0,0,0
Engagement,"Oh. I understand that fees are really costly.",1,0,0,0
Engagement,"I truly understand what you're going through Mr. Breed.",1,0,0,0
Engagement,"You're welcome Mr. Breed.",0,1,0,0
Engagement,"Oh I'm so sorry for the inconvenience for the website.",1,0,0,0
Engagement,"I understand Miss Collins.",1,0,0,0
Engagement,"Wow thank you.",0,1,0,0
Engagement,"Alright, we are on the right track.",0,0,1,0
Engagement,"Oh I'm terribly sorry to hear that.",1,0,0,0
Engagement,"But rest assured, I'll be here to make sure everything's well taken care of.",0,0,1,0
Engagement,"Sorry yeah, I should have asked for your account number.",1,0,0,0
Engagement,"Thank you so much, appreciate it.",0,1,0,0
Engagement,"Thank You Pauline",0,1,0,0
Engagement,"I understand that is really frustrating.",1,0,0,0
Engagement,"Yes, yes, ma'am. I will do my best.",0,0,1,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Sorry. I'm still checking some information.",1,0,0,0
Engagement,"I am really sorry, Miss America.",1,0,0,0
Engagement,"I understand your situation is very tough right now.",1,0,0,0
Engagement,"Thanks so much for your patience, Miss America.",0,1,0,0
Engagement,"Again, I'm really sorry.",1,0,0,0
Engagement,"How does that sound to you?",0,0,1,1
Engagement,"Ok that sounds good?",0,0,1,0
Engagement,"Oh that's very inconvenient.",1,0,0,0
Engagement,"I understand how you feel, your friends online might already be waiting for you but don't you worry, you've got the right person on the line to help you.",1,0,1,0
Engagement,"Thank You Mr. Jones.",0,1,0,0
Engagement,"Oh I just said thank you Mr. Jones.",0,1,0,0
Engagement,"Great! Thank you.",0,1,0,0
Engagement,"Oh I see.",0,0,0,0
Engagement,"How does that sound to you?",0,0,1,1
Engagement,"Sure, I'll be glad to assist you with that mail.",0,0,1,1
Engagement,"I am sincerely glad to know that you're all good now.",0,1,1,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Just take care of yourself, okay?",1,0,1,0
Engagement,"I'll be happy to order the bouquet for you.",0,0,1,1
Engagement,"Thank You Amanda.",0,1,0,0
Engagement,"Perfect.",0,0,0,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Thank You Amanda.",0,1,0,0
Engagement,"I appreciate that you bring this to our attention sir And sorry for the inconvenience sir.",1,1,0,0
Engagement,"I understand that your situation is very tough right now.",1,0,0,0
Engagement,"Yes sir, thank you.",0,1,0,0
Engagement,"Please stay online for a minute Mr. Sobremonte.",1,0,1,1
Engagement,"Again sir, I'm terribly sorry.",1,0,0,0
Engagement,"I'd be happy to take care of your order.",0,0,1,1
Engagement,"Thank you for that information Randall.",0,1,0,0
Engagement,"Thank you for the information.",0,1,0,0
Engagement,"Sure. I will be happy to assist you.",0,0,1,1
Engagement,"Thank You Mr. Logan.",0,1,0,0
Engagement,"Thank you for that.",0,1,0,0
Engagement,"Okay great, thank you Mr. Logan.",0,1,0,0
Engagement,"Hello Brian, I'm really sorry if you haven't received your parcel.",1,0,0,0
Engagement,"No worries, since you have me on the line, I'll be more than willing to assist.",0,0,1,0
Engagement,"Thanks for verifying those information to me.",0,1,0,0
Engagement,"I'm really sorry for the inconvenience Brian.",1,0,0,0
Engagement,"If you want, I can also help you track your order and reach you back tomorrow just to make sure that you are receiving the item within the expected date.",0,0,1,1
Engagement,"Got it, thanks.",0,1,0,0
Engagement,"Thank you, Brian.",0,1,0,0
Engagement,"I am sorry to hear about a dollar charge in your account.",1,0,0,0
Engagement,"But don't you worry. I can definitely help you with that.",0,0,1,0
Engagement,"You're most welcome.",0,1,0,0
Engagement,"I am really sorry to hear if you haven't received your item for a special event.",1,0,0,0
Engagement,"Also if it was tracked as delivered although not yet received.",0,0,0,0
Engagement,"I do understand your frustration right now for this inconvenience but no worries.",1,0,1,0
Engagement,"Rest assured that this company isn't a scam and I can definitely help you.",0,0,1,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Okay thank you.",0,1,0,0
Engagement,"Oh, I understand where you're coming from Athena.",1,0,0,0
Engagement,"No problem.",0,1,0,0
Engagement,"It's okay, I understand I would feel the same way if I am in your situation.",1,0,0,0
Engagement,"Thank you for your patience by the way.",0,1,0,0
Engagement,"Thank You.",0,1,0,0
Engagement,"Oh I am so sorry.",1,0,0,0
Engagement,"Amber, I truly understand how frustrating this is for you.",1,0,0,0
Engagement,"I truly do, I do.",1,0,0,0
Engagement,"And I am so sorry that this happened to you.",1,0,0,0
Engagement,"You're most welcome Amber.",0,1,0,0
Engagement,"Sure, I'll be happy to pull up your account now and check the billing details for you.",0,0,1,1
Engagement,"Thank you John.",0,1,0,0
Engagement,"Just give me a few seconds to pull up your account.",0,0,1,1
Engagement,"No, don't worry about it John.",1,0,0,0
Engagement,"You're welcome John.",0,1,0,0
Engagement,"I do apologize for the inconvenience but let me go ahead and check if there are some notes and order details.",1,0,1,0
Engagement,"Thank you.",0,1,0,0
Engagement,"I do apologize but the one that you provided is actually not accepting towards our database.",1,0,0,0
Engagement,"Alright, thank you so much Wilson.",0,1,0,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Okay, thank you.",0,1,0,0
Engagement,"Please hold on for a moment.",1,0,1,1
Engagement,"Okay?",0,0,0,0
Engagement,"Alright, okay, thank you for patiently waiting Adam.",0,1,0,0
Engagement,"I understand.",1,0,0,0
Engagement,"Is that okay with you?",0,0,1,1
Engagement,"Alright, thank you so much for that information, Adam.",0,1,0,0
Engagement,"Thank you John.",0,1,0,0
Engagement,"I'd be happy to help you with that today.",0,0,1,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Okay?",0,0,0,0
Engagement,"Thank you John.",0,1,0,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Oh, I apologise about the delay.",1,0,0,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Okay?",0,0,0,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Thank you.",0,1,0,0
Engagement,"Thank you.",0,1,0,0
Engagement,"I'm doing very well.",0,0,0,0
Engagement,"Thank you so much for asking.",0,1,0,0
Engagement,"How about you?",0,0,0,0
Engagement,"Oh, I hope I can make you feel better today.",1,0,1,0
Engagement,"I can only imagine how difficult it is for you not to have a working phone.",1,0,0,0
Engagement,"Okay?",0,0,0,0
Engagement,"You are welcome.",0,1,0,0
Engagement,"Thank you.",0,1,0,0
