Category,Text
Greetings,Thank you for calling Triple-A bank.
Greetings,My name is Arianna.
Greetings,May I have your name?
Greetings,Oh hello Mr. Breed.
Greetings,Thank you for calling Triple-A bank.
Greetings,My name is Maria.
Greetings,May I have your name?
Greetings,Oh hello Mr. Breed.
Greetings,How can I make you smile today?
Greetings,Thank you for calling Shapes Reward.
Greetings,My name is Mathilda.
Greetings,Can I have your name please?
Greetings,Hi Miss Collins.
Greetings,How can I be of service?
Greetings,Welcome to Grand Number One.
Greetings,My name Selena.
Greetings,May I have your name?
Greetings,Hello Miss Portman.
Greetings,How can I provide you an excellent service today?
Greetings,It's a great day here at our hotel I'm Rebecca.
Greetings,How can I assist you?
Greetings,Hi Rebecca.
Greetings,"Hi, thank you for calling X Y Z."
Greetings,My name is Ashley. 
Greetings,How may i help?
Greetings,Hello.
Greetings,Good morning. 
Greetings,My name is Kate.
Greetings,"Calling from deluxe credit card, may I speak with miss Anastasia Robinson?"
Greetings,"Hi, good morning Miss Robinson."
Greetings,I'm calling because deluxe credit card actually has a good news for you.
Greetings,Do you have 5 to 7 minutes to talk?
Greetings,Thanks for calling quick Internet.
Greetings,My name is Anna.
Greetings,Can I have your phone number or your account number please?
Greetings,"So, I would say my name is Anna."
Greetings,Thank you for calling Sprites.
Greetings,My name is Rhea.
Greetings,How can I help you today?
Greetings,Oh hi Francis.
Greetings,I'll be glad to answer any questions that you have about your bill.
Greetings,Thank you for calling Life Member Services.
Greetings,This is Raya.
Greetings,How can I help you today?
Greetings,Great day here at Amazing Flowers.
Greetings,This is Rael.
Greetings,Would you like to place an order?
Greetings,"Hello, Good Morning."
Greetings,Thank you for calling PLDC customer service.
Greetings,This is Christine speaking.
Greetings,How may I help you?
Greetings,Thank you for calling Martha's flowers.
Greetings,How may I assist you?
Greetings,Thank you for calling to Delonix.
Greetings,This is Nina speaking.
Greetings,How can I help you today?
Greetings,Thank you for calling Amazon customer services.
Greetings,This is Georgina.
Greetings,How can I help?
Greetings,Thank you for calling Rex Global customer service.
Greetings,This is Megan. 
Greetings,How can I help you?
Greetings,Thank you for calling JP International.
Greetings,This is Carla.
Greetings,Can I have your name please?
Greetings,Hello Athena.
Greetings,How are you today and how can I assist?
Greetings,Hi.
Greetings,Thank you for calling home supplies.
Greetings,This is Candice.
Greetings,How may I help you?
Greetings,Hi.
Greetings,Thank you for calling Power Up company.
Greetings,This is Candice.
Greetings,How may I help you?
Greetings,Thank you for calling Coats and Gowns.
Greetings,My name is Sam.
Greetings,How can I help you?
Greetings,Thank you for calling Nissan.
Greetings,My name is Lauren.
Greetings,Can I have your name?
Greetings,How can I help you?
Greetings,Thank you for calling South Chicago Southern Cellular service.
Greetings,This is Robert.
Greetings,How can I assist you today?
Greetings,Hello.
Greetings,This call is from Grey Home Medical.
Greetings,Calls are recorded for quality purposes.
Greetings,Is this the residence of Edward Daniels?
Greetings,Am I speaking with Edward?
Greetings,Thank you for calling.
Greetings,This is Jeline.
Greetings,How can I help you today?
Greetings,Thank you for calling Ava's Flowers.
Greetings,This is Jeline.
Greetings,How can I help you?
Greetings,"Absolutely, I'm positive that we have what you're looking for."
Greetings,Thank you for calling.
Greetings,My name is Jeline.
Greetings,May I have your name please?
Greetings,How can  help you?
Greetings,Hello Amanda.
Greetings,Thank you for calling technical support.
Greetings,My name is Harold.
Greetings,How can I help you?
Greetings,Hi.
Greetings,Thank you for calling technical support department.
Greetings,My name is Sunshine.
Greetings,"Now, can you tell me how can I assist you today?"
Greetings,"Hi, thank you for calling Mary hotel."
Greetings,This is Anna.
Greetings,How may I help you?
Greetings,Good Morning.
Greetings,Escala Tagaytay hotel reservation.
Greetings,This is Sydney speaking.
Greetings,How can I help you?
Greetings,Thank you for calling Blue Cross of Blue Shield.
Greetings,This is joe speaking.
Greetings,How can I help you?
Greetings,"Yes, this is customer support."
Greetings,How may I help you?
Greetings,"Hello, Good Morning."
Greetings,Thank you for calling PLDC customer service.
Greetings,This is Christine speaking.
