Person,Category,Quality,Text
A,Greetings,Positive,Thank you for calling Triple-A bank.
A,Greetings,Positive,My name is Arianna.
A,Greetings,Positive,May I have your name?
A,Greetings,Positive,Oh hello Mr. Breed.
A,Engagement,Positive,Oh. I understand that fees are really costly. 
A,Problem Investigation,Positive,Let me check your account to see what really happened.
A,Problem Investigation,Positive,I'll see what I can do Mr. Breed. 
A,Problem Investigation,Positive,As I have checked you were charged some fees because you were not able to pay on time so that means we really cannot do anything about it anymore.
A,Problem Resolution,Negative,"No, no sir. "
A,Problem Resolution,Negative,I can't do that because you did not make a payment.
A,Problem Resolution,Positive,"As much as I'd love to help you Mr. Breed, my hands are tied right now."
A,Problem Resolution,Positive,There's nothing I can do.
A,Problem Resolution,Positive,I already told you the reason and I'm afraid you'll have to pay the fees you'll have to pay the fees for now.
A,Problem Resolution,Positive,I want to let you know that you can actually avoid these fees by paying before 4 p.m. of your due date.
A,Engagement,Positive,I'm really really really sorry sir.
A,Greetings,Positive,Thank you for calling Triple-A bank.
A,Greetings,Positive,My name is Maria.
A,Greetings,Positive,May I have your name?
A,Greetings,Positive,Oh hello Mr. Breed.
A,Greetings,Positive,How can I make you smile today?
A,Engagement,Positive,Oh. I understand that fees are really costly.
A,Problem Investigation,Positive,Let me check your account to see what really happened.
A,Problem Investigation,Positive,"As I have checked, the account was charged some fees because there was no payment made before the cut off time of 4 p.m."
A,Engagement,Positive,I truly understand what you're going through Mr. Breed.
A,Problem Resolution,Positive,"However, the fees charged were valid and therefore, the fees can no longer be refunded or removed."
A,Problem Resolution,Positive,"I understand your concern sir and as much as I want to remove the fees, they really can no longer be removed."
A,Problem Resolution,Positive,"However, since you requested, okay, I will send a request to the management and it's up to them to decide whatever course of action they will do after reviewing your account but this doesn't guarantee that the fees will be refunded."
A,Engagement,Positive,You're welcome Mr. Breed.
A,Closure,Positive,I have already submitted a request and you will receive an email or text message after three days for the decision.
A,Greetings,Positive,Thank you for calling Shapes Reward.
A,Greetings,Positive,My name is Mathilda.
A,Greetings,Positive,Can I have your name please?
A,Greetings,Positive,Hi Miss Collins.
A,Greetings,Positive,How can I be of service?
A,Engagement,Positive,Oh I'm so sorry for the inconvenience for the website.
A,Problem Investigation,Positive,May I know what error message you got?
A,Problem Investigation,Positive,You mentioned you were trying to log in.
A,Problem Investigation,Positive,"When you logged into shapes rewards website, can you please tell me what happened after?"
A,Engagement,Positive,I understand Miss Collins.
A,Problem Investigation,Positive,Alright this what actually happened.
A,Problem Investigation,Positive,When you clicked log in and the screen or the page goes back to the exact same page after loading that means that the page is looping.
A,Problem Investigation,Positive,"However, your browser has an issue."
A,Problem Investigation,Positive,Looping is when the browser page goes back to the same page again and again even though you've already taken action.
A,Problem Investigation,Positive,"Just like in your case, you've clicked log in but it doesn't go to your profile on Shapes Rewards, right?"
A,Problem Investigation,Positive,It just keeps going back to the login page but don't worry you've got the right person on the line to help you.
A,Problem Investigation,Positive,We just need to do quick troubleshooting on your browser.
A,Problem Investigation,Positive,Are you using Mac or PC?
A,Problem Investigation,Positive,May I know what browser you're using?
A,Problem Investigation,Positive,Is it Google Chrome or Firefox?
A,Problem Investigation,Positive,May I know the chrome version?
A,Problem Resolution,Positive,I'll just give you instructions and we'll get through this.
A,Problem Resolution,Positive,"Yes, can you please close the Chrome browser and open it again after?"
A,Problem Resolution,Positive,"Now that you have the browser open, do you see 3 dots that are aligned vertically on the upper right part of your screen?"
A,Problem Resolution,Positive,Please click that and you will see a drop-down box.
A,Problem Resolution,Positive,Then look for the word help or about Google Chrome.
A,Engagement,Positive,Wow thank you.
A,Problem Resolution,Positive,Looks like you have the most updated browser versions so far.
A,Problem Resolution,Positive,"So, the next thing, we will do is clear cache from your browser."
A,Problem Resolution,Positive,This will not affect your stored files or anything on your computer.
A,Problem Resolution,Positive,It's just that most of the time the information that you click out to the Internet gets saved in a cache memory or storage in your browser and this eventually results to latency or what you just experienced.
A,Problem Resolution,Positive,So just click those three dots that you clicked earlier and look for more tools.
A,Problem Resolution,Positive,Did you see it?
A,Problem Resolution,Positive,Then you will see clear browsing data.
A,Engagement,Positive,"Alright, we are on the right track."
A,Problem Resolution,Positive,We can just go to the basic part and make sure you check all the checkboxes for the browsing history cookies and cached images.
A,Problem Resolution,Positive,"Then, if you see the time range you can choose all time. "
A,Problem Resolution,Positive,Then just click clear data.
A,Problem Resolution,Positive,"So once it's done loading, you will be on the same page."
A,Problem Resolution,Positive,"So, just press f5 on your keyboard to let it refresh and then you can start logging in again."
A,Closure,Positive,I am so happy for you too Miss Collins and it has been my pleasure to assist you.
A,Closure,Positive,Did I address all your concerns today?
A,Closure,Positive,You're welcome.
A,Closure,Positive,Thanks for calling Shapes Rewards and enjoy your day.
A,Greetings,Positive,Welcome to Grand Number One.
A,Greetings,Positive,My name Selena.
A,Greetings,Positive,May I have your name?
A,Greetings,Positive,Hello Miss Portman.
A,Greetings,Positive,How can I provide you an excellent service today?
A,Engagement,Positive,Oh I'm terribly sorry to hear that.
A,Engagement,Positive,"But rest assured, I'll be here to make sure everything's well taken care of."
A,Account Verification,Positive,"To put your account, can I please have your account number or debit card number?"
A,Engagement,Positive,"Sorry yeah, I should have asked for your account number."
A,Account Verification,Positive,And for additional security can I also have your birthdate and residential address please?
A,Engagement,Positive,"Thank you so much, appreciate it."
A,Problem Investigation,Positive,Let me check your transactions for you real quick.
A,Problem Investigation,Positive,"I see that the last transaction made was using your debit card at Target for 179 54, 179 dollars and 54 cents."
A,Problem Investigation,Positive,"Yes, This just posted today."
A,Problem Investigation,Positive,Is this valid?
A,Problem Resolution,Positive,"Your debit card is safe, no unauthorized transaction so I'm closing it now tagging is as lost."
A,Problem Resolution,Positive,Would you like a replacement over the phone?
A,Problem Resolution,Positive,It's free of charge.
A,Problem Resolution,Positive,"It will be delivered in 10 business days and while you're waiting for your new card, you may go to any branch to do an over to counter withdrawal."
A,Problem Resolution,Positive,Just bring two valid IDs.
A,Problem Resolution,Positive,Your new debit card will have a new card number but the account number and PIN will remain the same.
A,Problem Resolution,Positive,Just call us right away once you receive it so that we can activate it for you and everything's good.
A,Closure,Positive,The replacement has been processed and have I address all your concerns?
A,Closure,Positive,My pleasure and thank you for calling Grand Number One.
A,Closure,Positive,Enjoy the rest of your day.
A,Greetings,Positive,It's a great day here at our hotel I'm Rebecca.
A,Greetings,Positive,How can I assist you?
A,Greetings,Positive,Hi Rebecca.
A,Problem Investigation,Positive,I'll be happy to check that for you.
A,Account Verification,Positive,May I have your name?
A,Engagement,Positive,Thank You Pauline
