Category,Text
Closure,I have already submitted a request and you will receive an email or text message after three days for the decision.
Closure,I am so happy for you too Miss Collins and it has been my pleasure to assist you.
Closure,Did I address all your concerns today?
Closure,You're welcome.
Closure,Thanks for calling Shapes Rewards and enjoy your day.
Closure,The replacement has been processed and have I address all your concerns?
Closure,My pleasure and thank you for calling Grand Number One.
Closure,Enjoy the rest of your day.
Closure,Do you have any other questions Pauline?
Closure,You're welcome.
Closure,Thanks for calling our hotel.
Closure,We look forward to your enjoyable stay. 
Closure,Bye.
Closure,Is there anything else?
Closure,"Bye, yes, ma'am. "
Closure,Thank you for calling XYZ.
Closure,My pleasure to assist you.
Closure,Have I addressed your concerns?
Closure,Thanks for calling Quick Internet.
Closure,Once again this is Anna.
Closure,Have a wonderful day.
Closure,"So, have I addressed all your concerns today?"
Closure,Well it's been my pleasure to assist you Francis.
Closure,"Once again, my name is Rhea."
Closure,Thank you for calling Sprite and hope you have a great day
Closure,Have I addressed your concerns today?
Closure,"Yes, it is."
Closure,"Well Peter, if there's nothing else, thank you so much for choosing Life Member Services."
Closure,You take care and I'm wishing for your speedy recovery
Closure,Do you have any questions for me?
Closure,My pleasure.
Closure,Thank you so much for your order Amanda.
Closure,Have a great evening.
Closure,Is there anything else I can help you with sir?
Closure,"If none, thanks for calling and don't hesitate to call again if ever you'll have a problem with your connection."
Closure,Have a great day sir.
Closure,Bye.
Closure,Is there anything else I can help you with?
Closure,No problem Randall.
Closure,Thank you for calling Martha's Flowers.
Closure,Have a nice day.
Closure,Is there anything else that I can help you with Mr. Logan?
Closure,You're welcome and thank you very much for choosing Delonix and enjoy the rest of your afternoon.
Closure,"Thank you, bye."
Closure,"Aside from this, is there anything else that I can help you with?"
Closure,I think we are all set.
Closure,"For other queries, feel free to visit our help pages."
Closure,Thank you for calling amazon and have a nice day.
Closure,"Aside from this, is there anything else that I can assist?"
Closure,I'm really glad to help!
Closure,"You may also see the help pages for other queries, Max."
Closure,Thank you for calling Rex Global and have a nice day.
Closure,Goodbye.
Closure,Anything else that I can help?
Closure,That's good to hear.
Closure,I'm glad to help you.
Closure,"For other concerns, feel free to visit our help pages."
Closure,Thank you for calling JP  International.
Closure,Have a nice day.
Closure,Goodbye.
Closure,Is there anything else that I can help you with today?
Closure,"Bye, have a great day Amber."
Closure,Thank you for calling home supplies.
Closure,Is there anything else that I can help you with today?
Closure,Have a good one John.
Closure,Thank you for calling Power Up.
Closure,Bye.
Closure,I will be forwarding this over to our corporate office and thank you again for calling Coats and Gowns.
Closure,Is there anything else I can help you with today?
Closure,You're welcome and my pleasure.
Closure,Have a nice day.
Closure,Bye.
Closure,Is there anything else I can help with John?
Closure,You too. 
Closure,Bye.
Closure,Thank you for calling South Chicago Southern Cellular Service.
Closure,I hope I was able to help you with your issue.
Closure,"And, if you have any questions regarding your account."
Closure,Please call us back at 800 504 3644.
Closure,Our office hours is 8 a.m to 5 p.m.
Closure,"Monday to Friday, Central Time."
Closure,Thank you so much for your time Edward.
Closure,Have a great day.
Closure,You're most welcome and is there anything else that I can further assist you with today?
Closure,"Now, that's everything."
Closure,"Sure, enjoy your order."
Closure,Have a good day.
Closure,Thank you.
Closure,Is there anything else that I can further assist you with today?
Closure,You are most welcome.
Closure,"Again, thank you so much for calling Ava's Flowers."
Closure,Have a great day.
Closure,Bye.
Closure,I am so happy for you and thank you for partnering with me today.
Closure,I hope I was able to make you smile and I'm praying for your fast recovery.
Closure,And is there anything else that I can further assist you with today?
Closure,You're most welcome again.
Closure,This is Jeline.
Closure,Enjoy the rest of the day.
Closure,Thank you for being the best part of Verizon.
Closure,Bye for now.
Closure,Is there anything else that I can help you with for today Mike?
Closure,Thank you.
Closure,Just a quick recap you called it today because you can't print from your computer.
